global_step,episode,step,timestamp,elapsed_time,worker_id,environment,device,obs_space_shape,action_space_type,action_space_size,system_cpu_percent,system_memory_percent,system_memory_available_gb,system_disk_free_gb,gpu_memory_gb,gpu_memory_max_gb,step_reward,step_action,step_log_prob,step_obs_mean,step_obs_std,step_obs_max,step_obs_min,action_selection_time,env_step_time,cumulative_reward,checkpoint_saved,checkpoint_episode,avg_reward,reward_change,model_file
70,4,12,1752712459.588776,5.534744739532471,10.0,,,,,,60.0,80.2,12.345684051513672,225.82670211791992,0.017927169799804688,0.018999576568603516,1.0,0.0,-0.3884038031101227,0.029468253254890442,0.7156816124916077,0.8270694017410278,-0.8941911458969116,0.003586292266845703,0.004086971282958984,13.0,,,,,
71,4,13,1752712459.604508,5.550476312637329,10.0,,,,,,64.5,80.2,12.345684051513672,225.8266944885254,0.017928600311279297,0.018999576568603516,1.0,1.0,-0.8547244668006897,0.043854355812072754,0.8271186351776123,0.8578359484672546,-0.8875415921211243,0.0047817230224609375,0.0038437843322753906,14.0,,,,,
72,4,14,1752712459.6194167,5.565384864807129,10.0,,,,,,64.5,80.2,12.345684051513672,225.82668685913086,0.017930030822753906,0.018999576568603516,1.0,1.0,-0.9884887933731079,0.06671856343746185,0.7846038937568665,0.9528454542160034,-0.9305480122566223,0.004189968109130859,0.00392603874206543,15.0,,,,,
73,4,15,1752712459.6312962,5.5772645473480225,10.0,,,,,,62.5,80.2,12.345684051513672,225.82666778564453,0.017931461334228516,0.018999576568603516,1.0,0.0,-0.3622211813926697,0.08939509093761444,0.7962875962257385,0.9945045113563538,-0.9245122671127319,0.003870725631713867,0.002624988555908203,16.0,,,,,
74,4,16,1752712459.6446939,5.590662002563477,10.0,,,,,,64.0,80.2,12.345684051513672,225.82666778564453,0.017932891845703125,0.018999576568603516,1.0,0.0,-0.4847342073917389,0.10673187673091888,0.7784502506256104,0.9834717512130737,-0.8694776892662048,0.0037419795989990234,0.003734588623046875,17.0,,,,,
75,4,17,1752712459.6585371,5.60450553894043,10.0,,,,,,64.3,80.2,12.345684051513672,225.82666397094727,0.017934322357177734,0.018999576568603516,1.0,0.0,-0.6870908141136169,0.12785500288009644,0.9123126864433289,1.0376290082931519,-0.8641476631164551,0.004053592681884766,0.0037221908569335938,18.0,,,,,
76,4,18,1752712459.6731265,5.619094610214233,10.0,,,,,,64.5,80.2,12.345684051513672,225.82666397094727,0.017935752868652344,0.018999576568603516,1.0,1.0,-0.4910728931427002,0.1532520055770874,1.1489253044128418,1.156912922859192,-0.9085173010826111,0.004092693328857422,0.0036394596099853516,19.0,,,,,
77,4,19,1752712459.6882896,5.634257793426514,10.0,,,,,,62.1,80.2,12.345687866210938,225.82665252685547,0.017937183380126953,0.018999576568603516,1.0,1.0,-0.497269868850708,0.18859577178955078,1.0860079526901245,1.3416167497634888,-1.0025944709777832,0.004678010940551758,0.004095554351806641,20.0,,,,,
78,4,20,1752712459.7025282,5.648496627807617,10.0,,,,,,62.1,80.2,12.345687866210938,225.82664489746094,0.017938613891601562,0.018999576568603516,1.0,0.0,-0.8593486547470093,0.22512421011924744,1.0597844123840332,1.4750239849090576,-1.0477367639541626,0.003945827484130859,0.0041239261627197266,21.0,,,,,
79,4,21,1752712459.7174675,5.663435935974121,10.0,,,,,,63.3,80.2,12.345699310302734,225.82663345336914,0.017940044403076172,0.018999576568603516,1.0,1.0,-0.39218059182167053,0.25683867931365967,1.2002897262573242,1.55845308303833,-1.0440341234207153,0.004774570465087891,0.004124164581298828,22.0,,,,,
80,4,22,1752712459.7310047,5.676973104476929,10.0,,,,,,63.0,80.2,12.345699310302734,225.8266258239746,0.01794147491455078,0.018999576568603516,1.0,1.0,-0.42293083667755127,0.2996889352798462,1.1815526485443115,1.7096649408340454,-1.0901544094085693,0.003192424774169922,0.004481315612792969,23.0,,,,,
81,4,23,1752712459.7445107,5.690478801727295,10.0,,,,,,65.4,80.2,12.345699310302734,225.8266258239746,0.01794290542602539,0.018999576568603516,1.0,1.0,-0.4959752559661865,0.34411364793777466,1.1848608255386353,1.812448263168335,-1.0875191688537598,0.0035419464111328125,0.0037698745727539062,24.0,,,,,
